,0,1,2,3,4,5,6,7,8,9
0,2022-12-30,238.21,239.96,236.66,239.82,239.216008888889,21938472.0,241.8014,-2.3541,245.1992
1,2022-12-29,235.65,241.92,235.65,241.01,240.403011851852,19770693.0,242.2205,-5.7355,245.3113
2,2022-12-28,236.89,239.72,234.17,234.53,233.939331851852,17457104.0,242.9369,-9.1669,245.5845
3,2022-12-27,238.7,238.93,235.83,236.96,236.363211851852,16688648.0,243.6013,-8.5883,246.021
4,2022-12-23,236.11,238.87,233.9428,238.73,238.128754074074,21206982.0,244.1515,-8.9723,246.4299
5,2022-12-22,241.255,241.99,233.87,238.19,237.590114074074,28651664.0,245.0151,-2.3291,246.8572
6,2022-12-21,241.69,245.615,240.11,244.43,243.814398518519,23690607.0,245.4519,0.2593,246.9681
7,2022-12-20,239.4,242.91,238.42,241.8,241.191022222222,25150802.0,245.889,-4.0996,246.9558
8,2022-12-19,244.86,245.21,238.71,240.45,239.844422222222,29696436.0,246.5982,7.0622,247.151
9,2022-12-16,248.55,249.84,243.51,244.69,244.073743703704,86101994.0,246.8336,5.7455,246.8147
10,2022-12-15,253.72,254.2,247.34,249.01,248.382863703704,35568093.0,246.7246,8.7271,246.5411
11,2022-12-14,257.13,262.588,254.31,257.22,256.572186666667,35410933.0,246.089,15.784,246.1255
12,2022-12-13,261.69,263.915,253.07,256.92,256.272942222222,42196884.0,245.0496,19.3328,245.3739
13,2022-12-12,247.445,252.54,247.17,252.51,251.874048888889,30665069.0,243.4515,12.6435,244.4533
14,2022-12-09,244.695,248.31,244.16,245.42,244.801905185185,20609743.0,243.1145,17.9176,243.8512
15,2022-12-08,244.84,248.74,243.06,247.4,246.776918518518,22611757.0,243.018,16.7393,242.998
16,2022-12-07,244.83,246.16,242.205,244.37,243.75454962963,20481522.0,242.8975,23.4036,242.2009
17,2022-12-06,250.82,251.86,243.78,245.12,244.502660740741,22463727.0,242.7659,33.7949,241.0864
18,2022-12-05,252.01,253.819,248.06,250.2,249.569866666667,23435294.0,242.0237,32.4554,239.4771
19,2022-12-02,249.82,256.06,249.69,255.02,254.377727407407,21528520.0,241.0885,20.9508,237.9316
20,2022-12-01,253.87,256.12,250.9156,254.69,254.048558518518,26041524.0,240.2783,19.8779,236.934
21,2022-11-30,240.57,255.33,239.86,255.14,254.497425185185,47594239.0,238.983,7.4469,235.9874
22,2022-11-29,241.4,242.79,238.21,240.33,239.724724444444,17956313.0,238.8849,15.7549,235.6328
23,2022-11-28,246.08,246.65,240.8,241.76,241.151122962963,24810271.0,238.6942,15.6486,234.8826
24,2022-11-25,247.31,248.7,246.73,247.49,246.866691851852,9200772.0,238.0176,16.7462,234.1374
25,2022-11-23,245.105,248.28,244.27,247.58,246.956465185185,19508462.0,237.1507,-1.4577,233.34
26,2022-11-22,243.59,245.31,240.71,245.03,244.412887407407,19665699.0,236.417,0.5125,233.4094
