,Unnamed: 0,Meta Data,Time Series (Daily),EMA,MOM,SMA
5,2023-05-08,,"{'1. open': '310.13', '2. high': '310.2', '3. low': '306.09', '4. close': '308.65', '5. adjusted close': '308.65', '6. volume': '21318613', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",295.4748,26.92,293.8004
6,2023-05-05,,"{'1. open': '305.72', '2. high': '311.97', '3. low': '304.27', '4. close': '310.65', '5. adjusted close': '310.65', '6. volume': '28197052', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",294.0093,19.87,292.5185
7,2023-05-04,,"{'1. open': '306.24', '2. high': '307.7626', '3. low': '303.4', '4. close': '305.41', '5. adjusted close': '305.41', '6. volume': '22519907', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",292.8382,19.01,291.5723
8,2023-05-03,,"{'1. open': '306.62', '2. high': '308.61', '3. low': '304.09', '4. close': '304.4', '5. adjusted close': '304.4', '6. volume': '22360754', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",291.498,20.1,290.667
9,2023-05-02,,"{'1. open': '307.76', '2. high': '309.18', '3. low': '303.91', '4. close': '305.41', '5. adjusted close': '305.41', '6. volume': '26404431', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",289.9858,24.03,289.7099
10,2023-05-01,,"{'1. open': '306.97', '2. high': '308.6', '3. low': '305.15', '4. close': '305.56', '5. adjusted close': '305.56', '6. volume': '21294115', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",288.2084,22.74,288.5656
11,2023-04-28,,"{'1. open': '304.01', '2. high': '308.93', '3. low': '303.31', '4. close': '307.26', '5. adjusted close': '307.26', '6. volume': '36469613', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",286.3323,25.05,287.4828
12,2023-04-27,,"{'1. open': '295.97', '2. high': '305.2', '3. low': '295.25', '4. close': '304.83', '5. adjusted close': '304.83', '6. volume': '46462638', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",284.5645,20.18,286.2899
13,2023-04-26,,"{'1. open': '296.7', '2. high': '299.57', '3. low': '292.73', '4. close': '295.37', '5. adjusted close': '295.37', '6. volume': '64481117', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",283.4239,16.2,285.329
14,2023-04-25,,"{'1. open': '279.51', '2. high': '281.6', '3. low': '275.37', '4. close': '275.42', '5. adjusted close': '275.42', '6. volume': '45772236', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",282.0963,2.27,284.5575
15,2023-04-24,,"{'1. open': '282.09', '2. high': '284.95', '3. low': '278.72', '4. close': '281.77', '5. adjusted close': '281.77', '6. volume': '26611014', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",282.355,4.15,284.4494
16,2023-04-21,,"{'1. open': '285.01', '2. high': '286.27', '3. low': '283.0608', '4. close': '285.76', '5. adjusted close': '285.76', '6. volume': '21676387', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",282.3814,11.61,284.2518
17,2023-04-20,,"{'1. open': '285.25', '2. high': '289.03', '3. low': '285.08', '4. close': '286.11', '5. adjusted close': '286.11', '6. volume': '23244363', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",282.1186,10.37,283.699
18,2023-04-19,,"{'1. open': '285.99', '2. high': '289.05', '3. low': '284.54', '4. close': '288.45', '5. adjusted close': '288.45', '6. volume': '17150271', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",281.8055,9.01,283.2051
19,2023-04-18,,"{'1. open': '291.57', '2. high': '291.755', '3. low': '287.01', '4. close': '288.37', '5. adjusted close': '288.37', '6. volume': '20161845', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",281.387,13.31,282.7761
20,2023-04-17,,"{'1. open': '289.93', '2. high': '291.6', '3. low': '286.16', '4. close': '288.8', '5. adjusted close': '288.8', '6. volume': '23791151', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",280.3687,24.725,282.1423
21,2023-04-14,,"{'1. open': '287.0', '2. high': '288.48', '3. low': '283.69', '4. close': '286.14', '5. adjusted close': '286.14', '6. volume': '20987917', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",279.4126,27.02,280.9649
22,2023-04-13,,"{'1. open': '283.59', '2. high': '289.9', '3. low': '283.17', '4. close': '289.84', '5. adjusted close': '289.84', '6. volume': '24222678', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",278.6538,26.84,279.6782
23,2023-04-12,,"{'1. open': '284.79', '2. high': '287.01', '3. low': '281.96', '4. close': '283.49', '5. adjusted close': '283.49', '6. volume': '27403432', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",278.1602,37.39,278.4001
24,2023-04-11,,"{'1. open': '285.75', '2. high': '285.98', '3. low': '281.64', '4. close': '282.83', '5. adjusted close': '282.83', '6. volume': '27276589', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",277.4972,34.67,276.6197
25,2023-04-10,,"{'1. open': '289.208', '2. high': '289.6', '3. low': '284.71', '4. close': '289.39', '5. adjusted close': '289.39', '6. volume': '23102994', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",276.6719,33.388,274.9687
26,2023-04-06,,"{'1. open': '283.21', '2. high': '292.08', '3. low': '282.03', '4. close': '291.6', '5. adjusted close': '291.6', '6. volume': '29770334', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",275.4183,29.17,273.3788
27,2023-04-05,,"{'1. open': '285.85', '2. high': '287.15', '3. low': '282.92', '4. close': '284.34', '5. adjusted close': '284.34', '6. volume': '22064770', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",274.6392,29.55,271.9898
28,2023-04-04,,"{'1. open': '287.23', '2. high': '290.4499', '3. low': '285.67', '4. close': '287.18', '5. adjusted close': '287.18', '6. volume': '25824299', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",273.5181,30.805,270.5826
29,2023-04-03,,"{'1. open': '286.52', '2. high': '288.27', '3. low': '283.95', '4. close': '287.23', '5. adjusted close': '287.23', '6. volume': '24883342', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",272.1469,34.33,269.1157
30,2023-03-31,,"{'1. open': '283.73', '2. high': '289.27', '3. low': '283.0', '4. close': '288.3', '5. adjusted close': '288.3', '6. volume': '32765976', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",270.7096,37.18,267.481
31,2023-03-30,,"{'1. open': '284.23', '2. high': '284.46', '3. low': '281.48', '4. close': '284.05', '5. adjusted close': '284.05', '6. volume': '25053410', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",269.4076,33.47,265.7105
32,2023-03-29,,"{'1. open': '278.96', '2. high': '281.1398', '3. low': '278.41', '4. close': '280.51', '5. adjusted close': '280.51', '6. volume': '25087032', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",267.9253,29.89,264.1167
33,2023-03-28,,"{'1. open': '275.79', '2. high': '276.14', '3. low': '272.0451', '4. close': '275.23', '5. adjusted close': '275.23', '6. volume': '21878647', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",266.8218,23.33,262.6933
34,2023-03-27,,"{'1. open': '280.5', '2. high': '281.4589', '3. low': '275.52', '4. close': '276.38', '5. adjusted close': '276.38', '6. volume': '26840212', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",265.925,30.54,261.5824
35,2023-03-24,,"{'1. open': '277.24', '2. high': '280.63', '3. low': '275.28', '4. close': '280.57', '5. adjusted close': '280.57', '6. volume': '28199962', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",264.4675,21.68,260.1281
36,2023-03-23,,"{'1. open': '277.94', '2. high': '281.06', '3. low': '275.2', '4. close': '277.66', '5. adjusted close': '277.66', '6. volume': '36610879', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",263.1903,23.85,259.0957
37,2023-03-22,,"{'1. open': '273.4', '2. high': '281.04', '3. low': '272.18', '4. close': '272.29', '5. adjusted close': '272.29', '6. volume': '34873330', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",261.7153,18.92,257.96
38,2023-03-21,,"{'1. open': '274.88', '2. high': '275.0', '3. low': '269.5191', '4. close': '273.78', '5. adjusted close': '273.78', '6. volume': '34558704', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",260.5468,15.49,257.059
39,2023-03-20,,"{'1. open': '276.98', '2. high': '277.48', '3. low': '269.85', '4. close': '272.23', '5. adjusted close': '272.23', '6. volume': '43466649', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",259.1135,12.96,256.3214
40,2023-03-17,,"{'1. open': '278.26', '2. high': '283.33', '3. low': '276.3201', '4. close': '279.43', '5. adjusted close': '279.43', '6. volume': '69527371', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",257.3269,9.94,255.7043
41,2023-03-16,,"{'1. open': '265.205', '2. high': '276.56', '3. low': '263.28', '4. close': '276.2', '5. adjusted close': '276.2', '6. volume': '54832140', '7. dividend amount': '0.0000', '8. split coefficient': '1.0'}",255.2336,-6.7783,255.231
