,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'MSFT: Better Buy for 2022: Salesforce.com vs. Microsoft', 'url': 'https://stocknews.com/news/msft-crm-better-buy-for-2022-salesforce-com-vs-microsoft/', 'time_published': '20220301T203854', 'authors': [], 'summary': ""The continuation of hybrid working and ongoing digital transformation have been helping the software industry see relentless growth. Moreover, the growing demand for advanced software products and services in almost every sector should support the software industry's growth in the upcoming months. According to Grand View Research, the global business software and services market is expected to grow at a CAGR of 11.3% by 2028."", 'banner_image': 'https://stocknews.com/wp-content/uploads/2021/11/itw-abb-scaled.jpg', 'source': 'Stocknews.com', 'category_within_source': 'n/a', 'source_domain': 'stocknews.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.031452, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'ATVI', 'relevance_score': '0.085721', 'ticker_sentiment_score': '0.009923', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.61084', 'ticker_sentiment_score': '0.050726', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRM', 'relevance_score': '0.515871', 'ticker_sentiment_score': '0.052827', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Facebook, YouTube, TikTok restrict access to Russian state media', 'url': 'https://www.scmp.com/tech/big-tech/article/3168895/big-tech-restricts-russian-state-backed-media-reducing-access', 'time_published': '20220302T030642', 'authors': ['Bloomberg'], 'summary': ""YouTube, Facebook, Instagram and TikTok are restricting state-owned Russian media channels ahead of a likely European Union ban, aiming to curtail propaganda during Russia's invasion of Ukraine.The EU announced a ban Sunday, which countries are expected to sign off on today after a formal proposal. "", 'banner_image': 'https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/canvas/2022/03/02/74192a85-3e54-4fd4-a316-1747ef072829_6da779d7.jpg?itok=U5pj916_&v=1646190074', 'source': 'South China Morning Post', 'category_within_source': 'Companies', 'source_domain': 'www.scmp.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.14593, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.079078', 'ticker_sentiment_score': '-0.092053', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ROKU', 'relevance_score': '0.079078', 'ticker_sentiment_score': '-0.343012', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'FB', 'relevance_score': '0.234156', 'ticker_sentiment_score': '-0.040763', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNAP', 'relevance_score': '0.079078', 'ticker_sentiment_score': '-0.343012', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'TWTR', 'relevance_score': '0.079078', 'ticker_sentiment_score': '-0.092053', 'ticker_sentiment_label': 'Neutral'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Apple, Google, Netflix, and Visa join the growing list of companies halting business in Russia', 'url': 'https://www.fastcompany.com/90726978/apple-google-netflix-and-visa-join-the-ever-growing-list-of-the-companies-halting-business-in-russia', 'time_published': '20220302T080000', 'authors': [], 'summary': 'List of companies pulling out of Russia keeps growing Fast Company', 'banner_image': 'https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/wp-cms/uploads/2022/03/p-1-Apple-Google-Netflix-and-Visa-join-the-ever-growing-list-of-the-companies-halting-business-in-Russia.jpg', 'source': 'Fast Company', 'category_within_source': 'n/a', 'source_domain': 'www.fastcompany.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.520567, 'overall_sentiment_label': 'Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.127795', 'ticker_sentiment_score': '-0.688359', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'NFLX', 'relevance_score': '0.127795', 'ticker_sentiment_score': '-0.309546', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.252332', 'ticker_sentiment_score': '-0.688359', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'FB', 'relevance_score': '0.252332', 'ticker_sentiment_score': '-0.688359', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'MA', 'relevance_score': '0.127795', 'ticker_sentiment_score': '-0.309546', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Ukraine calls on gaming industry to suspend business with Russia', 'url': 'https://www.axios.com/ukraine-video-game-industry-da0c057f-08db-4e71-bfdd-10c65b69eed9.html', 'time_published': '20220302T080000', 'authors': ['Stephen Totilo', '/authors/stotilo'], 'summary': 'The Ukrainian government is beseeching video game companies and esports operators to cut off Russian gamers and esports teams.', 'banner_image': 'https://images.axios.com/8cuNwjrLryGaC69CPYSLEgWuYVA=/0x580:6222x4080/1920x1080/2022/03/02/1646230476780.jpg?w=1920', 'source': 'Axios', 'category_within_source': 'Business', 'source_domain': 'www.axios.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.162332, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.09923', 'ticker_sentiment_score': '-0.215272', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRYPTO:DMT', 'relevance_score': '0.09923', 'ticker_sentiment_score': '-0.089414', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'TikTok faces delicate dance to keep all sides happy in Ukraine war', 'url': 'https://www.scmp.com/tech/big-tech/article/3168936/ukraine-invasion-chinas-tiktok-does-delicate-dance-keep-brussels', 'time_published': '20220302T093019', 'authors': ['Coco Feng'], 'summary': ""TikTok, the short-video app popular for showing off new dance moves, is now performing a delicate balancing act itself to comply with varying requirements from Brussels, Moscow and Beijing over content related to Russia's invasion of Ukraine, highlighting the challenges of operating a global platfor"", 'banner_image': 'https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/canvas/2022/03/02/4c7df348-be5a-413f-8c20-dfdb701aa24a_24067030.jpg?itok=PFHQVsIR&v=1646211396', 'source': 'South China Morning Post', 'category_within_source': 'Money', 'source_domain': 'www.scmp.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': -0.093892, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'FB', 'relevance_score': '0.20186', 'ticker_sentiment_score': '-0.060959', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.135385', 'ticker_sentiment_score': '-0.221174', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.135385', 'ticker_sentiment_score': '-0.028736', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Biden Talks Business in the State of the Union', 'url': 'https://www.nytimes.com/2022/03/02/business/dealbook/biden-state-union-business.html', 'time_published': '20220302T123812', 'authors': [], 'summary': ""From inflation to manufacturing and technology, the president's annual address to Congress was heavy on economic issues."", 'banner_image': 'https://static01.nyt.com/images/2022/03/02/multimedia/02db-newsletter-sotu/02db-newsletter-sotu-articleLarge.jpg?quality=75&auto=webp&disable=upscale', 'source': 'New York Times', 'category_within_source': 'Dealbook', 'source_domain': 'www.nytimes.com', 'topics': [{'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.769861'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}], 'overall_sentiment_score': -0.221891, 'overall_sentiment_label': 'Somewhat-Bearish', 'ticker_sentiment': [{'ticker': 'BLK', 'relevance_score': '0.01824', 'ticker_sentiment_score': '-0.105787', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.01824', 'ticker_sentiment_score': '-0.007126', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.01824', 'ticker_sentiment_score': '0.000356', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.01824', 'ticker_sentiment_score': '0.163935', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MA', 'relevance_score': '0.01824', 'ticker_sentiment_score': '-0.048813', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.01824', 'ticker_sentiment_score': '-0.089809', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'V', 'relevance_score': '0.03647', 'ticker_sentiment_score': '-0.337592', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'XOM', 'relevance_score': '0.01824', 'ticker_sentiment_score': '-0.185731', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'FB', 'relevance_score': '0.03647', 'ticker_sentiment_score': '0.085894', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.03647', 'ticker_sentiment_score': '-0.236466', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Qualcomm teams up with ByteDance on metaverse-ready extended reality technologies', 'url': 'https://www.scmp.com/tech/big-tech/article/3168956/qualcomm-joins-forces-tiktok-owner-bytedance-pursue-advances', 'time_published': '20220302T133018', 'authors': ['Coco Feng'], 'summary': 'Qualcomm, the US semiconductor and wireless technology giant, has teamed up with Chinese unicorn ByteDance, owner of global hit short video app TikTok and virtual reality (VR) headset maker Pico Interactive, to pursue advances in metaverse-ready extended reality (XR) technologies.""We\'re collaboratin', 'banner_image': 'https://img.i-scmp.com/cdn-cgi/image/fit=contain,width=425,format=auto/sites/default/files/styles/768x768/public/d8/images/canvas/2022/03/02/4c6be01a-2b20-4b04-9177-27fc39bcd3b1_2aca4aee.jpg?itok=Mv9Cxlh4&v=1646216128', 'source': 'South China Morning Post', 'category_within_source': 'Companies', 'source_domain': 'www.scmp.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.056736, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.067594', 'ticker_sentiment_score': '0.106466', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.134703', 'ticker_sentiment_score': '0.013811', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.200854', 'ticker_sentiment_score': '0.076316', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TCTZF', 'relevance_score': '0.067594', 'ticker_sentiment_score': '0.007552', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BIDU', 'relevance_score': '0.067594', 'ticker_sentiment_score': '0.007552', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'MarketingPulse and eTailingPulse to shed light on the metaverse, NFTs and innovative customer experiences', 'url': 'https://www.scmp.com/presented/business/topics/marketing-dawn-metaverse/article/3169039/marketingpulse-and-etailingpulse', 'time_published': '20220303T065619', 'authors': ['Advertising partner'], 'summary': ""[Sponsored Article]\r\rThe Covid-19 pandemic has reshaped the world in unforeseen ways, one of which is the acceleration of the rise of virtual communities. Facebook's rebranding into Meta is an important milestone indicating that the metaverse is within reach. It is time for everyone to wrap our head"", 'banner_image': 'https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/2022/03/03/mp-etp-scmp-avatar-1200x800-v2.jpg?itok=79EX6h5I', 'source': 'South China Morning Post', 'category_within_source': 'Business', 'source_domain': 'www.scmp.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.451494'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.010325, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.045456', 'ticker_sentiment_score': '0.007051', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.045456', 'ticker_sentiment_score': '0.007051', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RBLX', 'relevance_score': '0.045456', 'ticker_sentiment_score': '0.022816', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.090765', 'ticker_sentiment_score': '0.001804', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KO', 'relevance_score': '0.045456', 'ticker_sentiment_score': '0.128299', 'ticker_sentiment_label': 'Neutral'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Melinda French Gates says she made clear to Bill Gates she 'did not like' him meeting with Epstein"", 'url': 'https://theweek.com/news/1010885/melinda-french-gates-says-she-made-clear-to-bill-gates-she-did-not-like-him-meeting', 'time_published': '20220303T080000', 'authors': ['Brendan Morrow'], 'summary': 'Melinda French Gates has opened up about her divorce from Bill Gates and the role his relationship with disgraced sex offender Jeffrey Epstein played in it.', 'banner_image': 'https://mediacloud.theweek.com/image/upload/f_auto,t_primary-image-continuous-scroll-mobile@1/v1646331919/Screen%20Shot%202022-03-03%20at%201.16.11%20PM.png', 'source': 'The Week News', 'category_within_source': 'n/a', 'source_domain': 'theweek.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.54507, 'overall_sentiment_label': 'Bearish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.1305', 'ticker_sentiment_score': '-0.54507', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'NYT', 'relevance_score': '0.1305', 'ticker_sentiment_score': '-0.54507', 'ticker_sentiment_label': 'Bearish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Less than 1% of all FDIC-insured banks are Black-owned, according to the FDIC', 'url': 'https://www.cnbc.com/2022/03/03/whats-stopping-black-owned-banks-from-thriving.html', 'time_published': '20220303T164723', 'authors': ['Nathaniel Lee'], 'summary': 'Between 1888 and 1934, there were 134 Black-owned banks. Today, there are only 20 Black-owned banks that qualify as Minority Depository Institutions.', 'banner_image': 'https://image.cnbcfm.com/api/v1/image/103893776-GettyImages-528595428.jpg?v=1598021187', 'source': 'CNBC', 'category_within_source': 'Finance', 'source_domain': 'www.cnbc.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': -0.039877, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.137829', 'ticker_sentiment_score': '0.008333', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.137829', 'ticker_sentiment_score': '0.008333', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'YELP', 'relevance_score': '0.137829', 'ticker_sentiment_score': '0.008333', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.137829', 'ticker_sentiment_score': '-0.057504', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.137829', 'ticker_sentiment_score': '-0.057504', 'ticker_sentiment_label': 'Neutral'}]}"
