,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Christie's to auction Paul Allen's billion-dollar art collection this fall"", 'url': 'https://www.marketwatch.com/story/christies-to-auction-paul-allens-billion-dollar-art-collection-this-fall-11661480293', 'time_published': '20220826T021800', 'authors': ['Kelly Crow'], 'summary': ""Microsoft co-founder Paul Allen collected chemistry sets as a boy, but the trove of paintings and sculptures he later amassed could top $1 billion when it heads to auction at Christie's this fall."", 'banner_image': 'https://images.mktw.net/im-611209/social', 'source': 'MarketWatch', 'category_within_source': 'Top Stories', 'source_domain': 'www.marketwatch.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.009605, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.29234', 'ticker_sentiment_score': '-0.041282', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Christie's To Auction Microsoft Co-founder Allen's $1bn-plus Art Collection"", 'url': 'https://www.barrons.com/news/christie-s-to-auction-art-collection-of-microsoft-co-founder-allen-01661483706', 'time_published': '20220826T034500', 'authors': ['AFP - Agence France Presse'], 'summary': 'Christie\'s announced plans on Thursday to auction the art collection of late Microsoft co-founder Paul Allen, which it estimated to be worth more than $1 billion. The November sale of more than 150 pieces spanning 500 years of art history will be ""the largest and most exceptional art auction in ...', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.217809, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.323078', 'ticker_sentiment_score': '0.24176', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Christie's To Auction Microsoft Co-founder Allen's $1bn-plus Art Collection"", 'url': 'https://www.barrons.com/news/christie-s-to-auction-art-collection-of-microsoft-co-founder-allen-01661483706', 'time_published': '20220826T035256', 'authors': ['AFP - Agence France Presse'], 'summary': 'Christie\'s announced plans on Thursday to auction the art collection of late Microsoft co-founder Paul Allen, which it estimated to be worth more than $1 billion. The November sale of more than 150 pieces spanning 500 years of art history will be ""the largest and most exceptional art auction in ...', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.217809, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.323078', 'ticker_sentiment_score': '0.24176', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Christie's To Auction Microsoft Co-founder Allen's $1bn-plus Art Collection"", 'url': 'https://www.barrons.com/news/christie-s-to-auction-microsoft-co-founder-allen-s-1bn-plus-art-collection-01661487307', 'time_published': '20220826T044616', 'authors': ['AFP - Agence France Presse'], 'summary': 'Christie\'s announced plans on Thursday to auction the art collection of late Microsoft co-founder Paul Allen, which it estimated to be worth more than $1 billion. The November sale of more than 150 pieces spanning 500 years of art will be ""the largest and most exceptional art auction in history,"" ...', 'banner_image': '', 'source': 'Barrons', 'category_within_source': 'n/a', 'source_domain': 'www.barrons.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.184148, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.274834', 'ticker_sentiment_score': '-0.11592', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NYT', 'relevance_score': '0.093289', 'ticker_sentiment_score': '0.20785', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""Xbox boss keen on Metaverse but 'cautious' about play-to-earn games"", 'url': 'https://cointelegraph.com/news/xbox-boss-keen-on-metaverse-but-cautious-about-play-to-earn-games', 'time_published': '20220826T055157', 'authors': [], 'summary': 'Phil Spencer argues that ""gamers have been in the Metaverse for 30 years"" as games already offer 3D shared worlds for people to communicate in.', 'banner_image': 'https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjItMDgvNWVjZTBkZmUtM2Q5YS00NWM2LThmNjItY2YzZjcxYmJhYmFkLmpwZw==.jpg', 'source': 'Cointelegraph', 'category_within_source': 'n/a', 'source_domain': 'cointelegraph.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.310843'}], 'overall_sentiment_score': 0.064074, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.175859', 'ticker_sentiment_score': '0.02006', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Elastic  ( ESTC )  Q1 2023 Earnings Call Transcript', 'url': 'https://www.fool.com/earnings/call-transcripts/2022/08/26/elastic-estc-q1-2023-earnings-call-transcript/', 'time_published': '20220826T063037', 'authors': ['Motley Fool Transcribing'], 'summary': 'ESTC earnings call for the period ending June 30, 2022.', 'banner_image': 'https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.955357'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.266512, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.008355', 'ticker_sentiment_score': '0.097962', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.004177', 'ticker_sentiment_score': '0.037766', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GTLB', 'relevance_score': '0.004177', 'ticker_sentiment_score': '0.020072', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.004177', 'ticker_sentiment_score': '0.055016', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'C', 'relevance_score': '0.008355', 'ticker_sentiment_score': '0.088256', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.004177', 'ticker_sentiment_score': '0.139729', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TEF', 'relevance_score': '0.012532', 'ticker_sentiment_score': '0.054915', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GS', 'relevance_score': '0.008355', 'ticker_sentiment_score': '0.088256', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GHGUF', 'relevance_score': '0.054264', 'ticker_sentiment_score': '0.14699', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.008355', 'ticker_sentiment_score': '0.133585', 'ticker_sentiment_label': 'Neutral'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'AvePoint Establishes New $100 Million SGD International R&D Hub in Singapore', 'url': 'https://www.globenewswire.com/news-release/2022/08/26/2505113/0/en/AvePoint-Establishes-New-100-Million-SGD-International-R-D-Hub-in-Singapore.html', 'time_published': '20220826T080000', 'authors': ['Inc.', 'AvePoint'], 'summary': 'AvePoint commits to hiring over 500 local professionals by 2026 AvePoint commits to hiring over 500 local professionals by ...', 'banner_image': 'https://ml.globenewswire.com/Resource/Download/66cfa5b1-b951-4227-9618-187cb38381b8?size=1', 'source': 'GlobeNewswire', 'category_within_source': 'n/a', 'source_domain': 'www.globenewswire.com', 'topics': [{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}], 'overall_sentiment_score': 0.294316, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.111315', 'ticker_sentiment_score': '0.223141', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AVPT', 'relevance_score': '0.598987', 'ticker_sentiment_score': '0.421624', 'ticker_sentiment_label': 'Bullish'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'AvePoint Establishes New $100 Million SGD International R&D Hub in Singapore', 'url': 'https://www.benzinga.com/pressreleases/22/08/g28645075/avepoint-establishes-new-100-million-sgd-international-r-d-hub-in-singapore', 'time_published': '20220826T080000', 'authors': ['Globe Newswire'], 'summary': ""SINGAPORE, Aug. 26, 2022 ( GLOBE NEWSWIRE ) -- AvePoint AVPT, the most advanced SaaS and data management platform provider, today announced its newly established $100 million SGD international R&D Hub in Singapore, which will act as a major hub within the company's worldwide R&D network and ..."", 'banner_image': '', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}], 'overall_sentiment_score': 0.266833, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.088363', 'ticker_sentiment_score': '0.205555', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AVPT', 'relevance_score': '0.562734', 'ticker_sentiment_score': '0.406252', 'ticker_sentiment_label': 'Bullish'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""'It's just a very odd time:' White-collar graduates are vulnerable to recession -and need to get smart when applying for jobs. Here's exactly how to do that."", 'url': 'https://www.marketwatch.com/story/none-of-the-rules-that-we-generally-follow-are-valid-anymore-white-collar-graduates-are-vulnerable-to-recession-and-need-to-get-smart-when-applying-for-jobs-heres-how-to-do-that-11661501012', 'time_published': '20220826T080500', 'authors': ['Zoe Han'], 'summary': 'Entry-level workers will be particularly vulnerable during the next recession, experts say.', 'banner_image': 'https://images.mktw.net/im-535022/social', 'source': 'MarketWatch', 'category_within_source': 'Top Stories', 'source_domain': 'www.marketwatch.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.158519'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': 0.033455, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.092331', 'ticker_sentiment_score': '0.087873', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.092331', 'ticker_sentiment_score': '-0.030279', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.061631', 'ticker_sentiment_score': '-0.132037', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COIN', 'relevance_score': '0.061631', 'ticker_sentiment_score': '-0.028', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TWTR', 'relevance_score': '0.092331', 'ticker_sentiment_score': '0.004212', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.061631', 'ticker_sentiment_score': '-0.132037', 'ticker_sentiment_label': 'Neutral'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Goldman Sachs initiates Affle share price coverage, projects 10% upside on strong digital advertising growth | The Financial Express', 'url': 'https://www.financialexpress.com/market/goldman-sachs-initiates-affle-share-price-coverage-projects-10-upside-on-strong-digital-advertising-growth/2645096/', 'time_published': '20220826T090404', 'authors': [], 'summary': 'Goldman Sachs initiates Affle share price coverage, projects 10% upside on strong digital advertising growth The Financial Express ...', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/08/Stock-REU2-2.jpg', 'source': 'The Financial Express', 'category_within_source': 'MarketsGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Financial Markets', 'relevance_score': '0.796627'}, {'topic': 'Earnings', 'relevance_score': '0.77141'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}], 'overall_sentiment_score': 0.229755, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'BABA', 'relevance_score': '0.068306', 'ticker_sentiment_score': '0.081227', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.068306', 'ticker_sentiment_score': '0.081227', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.136113', 'ticker_sentiment_score': '0.143171', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.136113', 'ticker_sentiment_score': '0.17828', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GS', 'relevance_score': '0.451494', 'ticker_sentiment_score': '0.269655', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TTD', 'relevance_score': '0.068306', 'ticker_sentiment_score': '0.14857', 'ticker_sentiment_label': 'Neutral'}]}"
