,items,sentiment_score_definition,relevance_score_definition,feed
0,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""JPMorgan CEO calls crypto 'decentralized Ponzi schemes'"", 'url': 'https://cointelegraph.com/news/jpmorgan-ceo-calls-crypto-decentralized-ponzi-schemes', 'time_published': '20220922T020817', 'authors': [], 'summary': 'JPMorgan CEO Jamie Dimon regards crypto as a tale of two cities, with ""crypto tokens that you call currencies"" on one side and ""real"" innovations on the other.', 'banner_image': 'https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjItMDkvNDFlOTFkZDUtNzc0ZC00MGJlLTkxZjQtNzU0MzBlZWY5YzY3LmpwZw==.jpg', 'source': 'Cointelegraph', 'category_within_source': 'n/a', 'source_domain': 'cointelegraph.com', 'topics': [{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Blockchain', 'relevance_score': '0.983605'}], 'overall_sentiment_score': 0.112605, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.083131', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AWON', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.063329', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'C', 'relevance_score': '0.091509', 'ticker_sentiment_score': '-0.009443', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.091509', 'ticker_sentiment_score': '-0.009443', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WFC', 'relevance_score': '0.091509', 'ticker_sentiment_score': '-0.009443', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.578948', 'ticker_sentiment_score': '0.170038', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.181819', 'ticker_sentiment_score': '-0.02398', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:MANA', 'relevance_score': '0.091509', 'ticker_sentiment_score': '0.063329', 'ticker_sentiment_label': 'Neutral'}]}"
1,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': ""JourneyTEAM's 10th Annual Business Technology Summit"", 'url': 'https://www.prnewswire.com/news-releases/journeyteams-10th-annual-business-technology-summit-301630538.html', 'time_published': '20220922T035700', 'authors': ['JourneyTEAM'], 'summary': 'DRAPER, Utah, Sept. 21, 2022 /PRNewswire/ -- Microsoft Partner, JourneyTEAM, is inviting business decision makers of all industries to join the Upcoming Business Technology Summit and learn how Microsoft Technologies can improve their businesses operations.', 'banner_image': 'https://mma.prnewswire.com/media/1904952/2022_09_21___ID_294549___JourneyTEAM___Business_Technology_Summit_2022.jpg?w=500', 'source': 'PR Newswire', 'category_within_source': 'n/a', 'source_domain': 'www.prnewswire.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.357375, 'overall_sentiment_label': 'Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.510302', 'ticker_sentiment_score': '0.329846', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
2,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Amazon, Microsoft and Google face UK probe over dominance in cloud computing', 'url': 'https://www.cnbc.com/2022/09/22/uks-ofcom-probes-amazon-microsoft-and-google-over-cloud-dominance.html', 'time_published': '20220922T073726', 'authors': ['Ryan Browne'], 'summary': 'Ofcom, the U.K. media watchdog, is set to launch a study examining the role of Amazon, Microsoft and Google in the cloud services market.', 'banner_image': 'https://image.cnbcfm.com/api/v1/image/106924325-1628550280442-gettyimages-1149809222-_mg_7789_2019051721719311.jpeg?v=1663833344&w=1920&h=1080', 'source': 'CNBC', 'category_within_source': 'Top News', 'source_domain': 'www.cnbc.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.072307, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'BABA', 'relevance_score': '0.058615', 'ticker_sentiment_score': '-0.073983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.340915', 'ticker_sentiment_score': '0.04979', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DTST', 'relevance_score': '0.058615', 'ticker_sentiment_score': '-0.007002', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.286864', 'ticker_sentiment_score': '0.093942', 'ticker_sentiment_label': 'Neutral'}]}"
3,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Konsolidator hires a Country Manager for Norway and optimizes the cost structure in Sweden', 'url': 'https://www.globenewswire.com/news-release/2022/09/22/2520746/0/en/Konsolidator-hires-a-Country-Manager-for-Norway-and-optimizes-the-cost-structure-in-Sweden.html', 'time_published': '20220922T080500', 'authors': ['Konsolidator A/S'], 'summary': 'Press release no ...', 'banner_image': 'https://ml-eu.globenewswire.com/Resource/Download/c794b2ca-2ca6-4248-b190-72d2ba5e2123?size=1', 'source': 'GlobeNewswire', 'category_within_source': 'n/a', 'source_domain': 'www.globenewswire.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.286867, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.078099', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
4,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Volatility In Markets Increases After Fed Raises Interest Rates - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ', 'url': 'https://www.benzinga.com/news/22/09/28960095/volatility-in-markets-increases-after-fed-raises-interest-rates', 'time_published': '20220922T085446', 'authors': ['Lisa Levin'], 'summary': 'U.S. stocks ended lower on Wednesday, after the Federal Reserve announced its recent policy decision. At the end of its two-day policy meeting, the US Fed raised its policy rate by 75 basis points for the third time.', 'banner_image': 'https://cdn.benzinga.com/files/images/story/2022/09/22/image31.jpeg?width=1200&height=800&fit=crop', 'source': 'Benzinga', 'category_within_source': 'Trading', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}], 'overall_sentiment_score': -0.127021, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]}"
5,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Futures steady after Fed-driven selloff', 'url': 'https://www.reuters.com/markets/europe/futures-steady-after-fed-driven-selloff-2022-09-22/', 'time_published': '20220922T090500', 'authors': ['Reuters'], 'summary': 'Futures steady after ...', 'banner_image': 'https://cloudfront-us-east-2.images.arcpublishing.com/reuters/RZPBJFTKHFOZDFFYIK5IO3LC6A.jpg', 'source': 'Reuters', 'category_within_source': 'Markets', 'source_domain': 'www.reuters.com', 'topics': [{'topic': 'Economy - Monetary', 'relevance_score': '0.576289'}, {'topic': 'Financial Markets', 'relevance_score': '0.995973'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}], 'overall_sentiment_score': -0.105528, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'BLK', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.101006', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.140191', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.140191', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.140191', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.169921', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.096283', 'ticker_sentiment_score': '-0.169921', 'ticker_sentiment_label': 'Somewhat-Bearish'}]}"
6,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Microsoft Fall 2022 event on October 12: Surface Pro 9, Surface Laptop 5 expected | The Financial Express', 'url': 'https://www.financialexpress.com/industry/technology/microsoft-fall-2022-event-on-october-12-surface-pro-9-surface-laptop-5-expected/2684209/', 'time_published': '20220922T092017', 'authors': [], 'summary': 'Microsoft Fall 2022 event on October 12: Surface Pro 9, Surface Laptop 5 expected The Financial Express ...', 'banner_image': 'https://www.financialexpress.com/wp-content/uploads/2022/09/microsoft-save-the-date.jpg', 'source': 'The Financial Express', 'category_within_source': 'IndustryGoogleRSS', 'source_domain': 'www.financialexpress.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.065255, 'overall_sentiment_label': 'Neutral', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.59016', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.258351', 'ticker_sentiment_score': '0.090915', 'ticker_sentiment_label': 'Neutral'}]}"
7,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Before You Buy the Adobe Stock Dip, Take a Hard Look at Microsoft', 'url': 'https://www.fool.com/investing/2022/09/22/before-buy-adobe-stock-dip-take-look-microsoft/', 'time_published': '20220922T093500', 'authors': ['Nicholas Rossolillo'], 'summary': 'Both companies are trying to make blockbuster acquisitions, but one looks better positioned to do so.', 'banner_image': 'https://g.foolcdn.com/editorial/images/700564/home-investor-tracking-stocks.jpg', 'source': 'Motley Fool', 'category_within_source': 'n/a', 'source_domain': 'www.fool.com', 'topics': [{'topic': 'Earnings', 'relevance_score': '0.538269'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}], 'overall_sentiment_score': 0.16455, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'ADBE', 'relevance_score': '0.738328', 'ticker_sentiment_score': '0.25351', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ATVI', 'relevance_score': '0.201356', 'ticker_sentiment_score': '0.09662', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.555911', 'ticker_sentiment_score': '0.300626', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
8,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'Quest Software Announces Public Beta for SharePlex for PostgreSQL', 'url': 'https://www.benzinga.com/pressreleases/22/09/g28960431/quest-software-announces-public-beta-for-shareplex-for-postgresql', 'time_published': '20220922T100000', 'authors': ['Globe Newswire'], 'summary': 'Database replication software enables customers to implement bi-directional PostgreSQL replication for scaling, high availability and disaster recovery Software solution lets customers replace mission-critical Oracle databases with PostgreSQL', 'banner_image': '', 'source': 'Benzinga', 'category_within_source': 'General', 'source_domain': 'www.benzinga.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}], 'overall_sentiment_score': 0.282521, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.070935', 'ticker_sentiment_score': '0.161783', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
9,200,x <= -0.35: Bearish; -0.35 < x <= -0.15: Somewhat-Bearish; -0.15 < x < 0.15: Neutral; 0.15 <= x < 0.35: Somewhat_Bullish; x >= 0.35: Bullish,"0 < x <= 1, with a higher score indicating higher relevance.","{'title': 'CEOs on how Denver can supercharge its tech hub status', 'url': 'https://www.axios.com/local/denver/2022/09/22/ceos-denver-tech-hub-status', 'time_published': '20220922T101747', 'authors': ['https://www.axios.com/local/denver/authors/ehernandez', 'Esteban L. Hernandez'], 'summary': ""Denver's sudden, pandemic-fueled status as a magnet for white-collar workers means salaries are growing at a rapid pace and startups are drawing billions in investment dollars."", 'banner_image': 'https://static.axios.com/img/axios-site/axios-placeholder-16x9.png', 'source': 'Axios', 'category_within_source': 'Business', 'source_domain': 'www.axios.com', 'topics': [{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}], 'overall_sentiment_score': 0.334467, 'overall_sentiment_label': 'Somewhat-Bullish', 'ticker_sentiment': [{'ticker': 'MSFT', 'relevance_score': '0.09186', 'ticker_sentiment_score': '0.187493', 'ticker_sentiment_label': 'Somewhat-Bullish'}]}"
