,Meta Data,Technical Analysis: EMA
1: Symbol,msft,
2: Indicator,Exponential Moving Average (EMA),
3: Last Refreshed,2023-05-08,
4: Interval,daily,
5: Time Period,21,
6: Series Type,open,
7: Time Zone,US/Eastern,
2023-05-08,,{'EMA': '295.4748'}
2023-05-05,,{'EMA': '294.0093'}
2023-05-04,,{'EMA': '292.8382'}
2023-05-03,,{'EMA': '291.4980'}
2023-05-02,,{'EMA': '289.9858'}
2023-05-01,,{'EMA': '288.2084'}
2023-04-28,,{'EMA': '286.3323'}
2023-04-27,,{'EMA': '284.5645'}
2023-04-26,,{'EMA': '283.4239'}
2023-04-25,,{'EMA': '282.0963'}
2023-04-24,,{'EMA': '282.3550'}
2023-04-21,,{'EMA': '282.3814'}
2023-04-20,,{'EMA': '282.1186'}
2023-04-19,,{'EMA': '281.8055'}
2023-04-18,,{'EMA': '281.3870'}
2023-04-17,,{'EMA': '280.3687'}
2023-04-14,,{'EMA': '279.4126'}
2023-04-13,,{'EMA': '278.6538'}
2023-04-12,,{'EMA': '278.1602'}
2023-04-11,,{'EMA': '277.4972'}
2023-04-10,,{'EMA': '276.6719'}
2023-04-06,,{'EMA': '275.4183'}
2023-04-05,,{'EMA': '274.6392'}
2023-04-04,,{'EMA': '273.5181'}
2023-04-03,,{'EMA': '272.1469'}
2023-03-31,,{'EMA': '270.7096'}
2023-03-30,,{'EMA': '269.4076'}
2023-03-29,,{'EMA': '267.9253'}
2023-03-28,,{'EMA': '266.8218'}
2023-03-27,,{'EMA': '265.9250'}
2023-03-24,,{'EMA': '264.4675'}
2023-03-23,,{'EMA': '263.1903'}
2023-03-22,,{'EMA': '261.7153'}
2023-03-21,,{'EMA': '260.5468'}
2023-03-20,,{'EMA': '259.1135'}
2023-03-17,,{'EMA': '257.3269'}
2023-03-16,,{'EMA': '255.2336'}
2023-03-15,,{'EMA': '254.2364'}
2023-03-14,,{'EMA': '253.6621'}
2023-03-13,,{'EMA': '253.3533'}
2023-03-10,,{'EMA': '253.9486'}
2023-03-09,,{'EMA': '254.2354'}
2023-03-08,,{'EMA': '254.0770'}
2023-03-07,,{'EMA': '254.0807'}
2023-03-06,,{'EMA': '253.8588'}
2023-03-03,,{'EMA': '253.6021'}
2023-03-02,,{'EMA': '253.7433'}
2023-03-01,,{'EMA': '254.4627'}
2023-02-28,,{'EMA': '254.8329'}
2023-02-27,,{'EMA': '255.4092'}
2023-02-24,,{'EMA': '255.7042'}
2023-02-23,,{'EMA': '256.2786'}
2023-02-22,,{'EMA': '256.3504'}
2023-02-21,,{'EMA': '256.5765'}
2023-02-17,,{'EMA': '256.7861'}
2023-02-16,,{'EMA': '256.5257'}
2023-02-15,,{'EMA': '255.7763'}
2023-02-14,,{'EMA': '254.5219'}
2023-02-13,,{'EMA': '252.7758'}
2023-02-10,,{'EMA': '251.3568'}
2023-02-09,,{'EMA': '250.4053'}
2023-02-08,,{'EMA': '248.1348'}
2023-02-07,,{'EMA': '245.6971'}
2023-02-06,,{'EMA': '244.2794'}
2023-02-03,,{'EMA': '243.0282'}
2023-02-02,,{'EMA': '241.4422'}
2023-02-01,,{'EMA': '239.7696'}
2023-01-31,,{'EMA': '239.0090'}
2023-01-30,,{'EMA': '238.6263'}
2023-01-27,,{'EMA': '238.0995'}
2023-01-26,,{'EMA': '237.0731'}
2023-01-25,,{'EMA': '236.4768'}
2023-01-24,,{'EMA': '236.7355'}
2023-01-23,,{'EMA': '236.2202'}
2023-01-20,,{'EMA': '235.7929'}
2023-01-19,,{'EMA': '235.9458'}
2023-01-18,,{'EMA': '236.2213'}
2023-01-17,,{'EMA': '235.7478'}
2023-01-13,,{'EMA': '235.5855'}
2023-01-12,,{'EMA': '235.5035'}
2023-01-11,,{'EMA': '235.5871'}
2023-01-10,,{'EMA': '236.0751'}
2023-01-09,,{'EMA': '236.9645'}
2023-01-06,,{'EMA': '238.0729'}
2023-01-05,,{'EMA': '239.6364'}
2023-01-04,,{'EMA': '240.9372'}
2023-01-03,,{'EMA': '241.8620'}
2022-12-30,,{'EMA': '241.8014'}
2022-12-29,,{'EMA': '242.2205'}
2022-12-28,,{'EMA': '242.9369'}
2022-12-27,,{'EMA': '243.6013'}
2022-12-23,,{'EMA': '244.1515'}
2022-12-22,,{'EMA': '245.0151'}
2022-12-21,,{'EMA': '245.4519'}
2022-12-20,,{'EMA': '245.8890'}
2022-12-19,,{'EMA': '246.5982'}
2022-12-16,,{'EMA': '246.8336'}
2022-12-15,,{'EMA': '246.7246'}
2022-12-14,,{'EMA': '246.0890'}
2022-12-13,,{'EMA': '245.0496'}
2022-12-12,,{'EMA': '243.4515'}
2022-12-09,,{'EMA': '243.1145'}
2022-12-08,,{'EMA': '243.0180'}
2022-12-07,,{'EMA': '242.8975'}
2022-12-06,,{'EMA': '242.7659'}
2022-12-05,,{'EMA': '242.0237'}
2022-12-02,,{'EMA': '241.0885'}
2022-12-01,,{'EMA': '240.2783'}
2022-11-30,,{'EMA': '238.9830'}
2022-11-29,,{'EMA': '238.8849'}
2022-11-28,,{'EMA': '238.6942'}
2022-11-25,,{'EMA': '238.0176'}
2022-11-23,,{'EMA': '237.1507'}
2022-11-22,,{'EMA': '236.4170'}
2022-11-21,,{'EMA': '235.7610'}
2022-11-18,,{'EMA': '235.2549'}
2022-11-17,,{'EMA': '234.4907'}
2022-11-16,,{'EMA': '234.2217'}
2022-11-15,,{'EMA': '233.4260'}
2022-11-14,,{'EMA': '232.3332'}
2022-11-11,,{'EMA': '231.4967'}
2022-11-10,,{'EMA': '230.4765'}
2022-11-09,,{'EMA': '230.1064'}
2022-11-08,,{'EMA': '230.5009'}
2022-11-07,,{'EMA': '230.8025'}
2022-11-04,,{'EMA': '231.8018'}
2022-11-03,,{'EMA': '233.3427'}
2022-11-02,,{'EMA': '234.7850'}
2022-11-01,,{'EMA': '235.4394'}
2022-10-31,,{'EMA': '235.6481'}
2022-10-28,,{'EMA': '235.9612'}
2022-10-27,,{'EMA': '237.0536'}
2022-10-26,,{'EMA': '237.7778'}
2022-10-25,,{'EMA': '238.5615'}
2022-10-24,,{'EMA': '237.8231'}
2022-10-21,,{'EMA': '237.3590'}
2022-10-20,,{'EMA': '237.7457'}
2022-10-19,,{'EMA': '238.0686'}
2022-10-18,,{'EMA': '238.2975'}
2022-10-17,,{'EMA': '237.9326'}
2022-10-14,,{'EMA': '238.2692'}
2022-10-13,,{'EMA': '238.6674'}
2022-10-12,,{'EMA': '240.6660'}
2022-10-11,,{'EMA': '242.3125'}
2022-10-10,,{'EMA': '243.9027'}
2022-10-07,,{'EMA': '245.1119'}
2022-10-06,,{'EMA': '245.6610'}
2022-10-05,,{'EMA': '245.5659'}
2022-10-04,,{'EMA': '245.6542'}
2022-10-03,,{'EMA': '245.8410'}
2022-09-30,,{'EMA': '247.0092'}
2022-09-29,,{'EMA': '248.0078'}
2022-09-28,,{'EMA': '249.0466'}
2022-09-27,,{'EMA': '250.3962'}
2022-09-26,,{'EMA': '251.5654'}
2022-09-23,,{'EMA': '253.1435'}
2022-09-22,,{'EMA': '254.6312'}
2022-09-21,,{'EMA': '256.4337'}
2022-09-20,,{'EMA': '257.7800'}
2022-09-19,,{'EMA': '259.4802'}
2022-09-16,,{'EMA': '261.3106'}
2022-09-15,,{'EMA': '263.1455'}
2022-09-14,,{'EMA': '264.6159'}
2022-09-13,,{'EMA': '265.8592'}
2022-09-12,,{'EMA': '266.6988'}
2022-09-09,,{'EMA': '266.9320'}
2022-09-08,,{'EMA': '267.7136'}
2022-09-07,,{'EMA': '268.8709'}
2022-09-06,,{'EMA': '270.4234'}
2022-09-02,,{'EMA': '271.9820'}
2022-09-01,,{'EMA': '273.1498'}
2022-08-31,,{'EMA': '274.7154'}
2022-08-30,,{'EMA': '275.7891'}
2022-08-29,,{'EMA': '276.8427'}
2022-08-26,,{'EMA': '278.0834'}
2022-08-25,,{'EMA': '278.1321'}
2022-08-24,,{'EMA': '278.3597'}
2022-08-23,,{'EMA': '278.8011'}
2022-08-22,,{'EMA': '279.1842'}
2022-08-19,,{'EMA': '279.0446'}
2022-08-18,,{'EMA': '278.2127'}
2022-08-17,,{'EMA': '277.1693'}
2022-08-16,,{'EMA': '276.0663'}
2022-08-15,,{'EMA': '274.6908'}
2022-08-12,,{'EMA': '273.2761'}
2022-08-11,,{'EMA': '271.9700'}
2022-08-10,,{'EMA': '270.2981'}
2022-08-09,,{'EMA': '268.7250'}
2022-08-08,,{'EMA': '267.8412'}
2022-08-05,,{'EMA': '266.4314'}
2022-08-04,,{'EMA': '265.3669'}
2022-08-03,,{'EMA': '263.9330'}
2022-08-02,,{'EMA': '262.8559'}
2022-08-01,,{'EMA': '261.7465'}
2022-07-29,,{'EMA': '260.3455'}
2022-07-28,,{'EMA': '258.8164'}
2022-07-27,,{'EMA': '257.9234'}
2022-07-26,,{'EMA': '257.7938'}
2022-07-25,,{'EMA': '257.7802'}
2022-07-22,,{'EMA': '257.6526'}
2022-07-21,,{'EMA': '257.0909'}
2022-07-20,,{'EMA': '257.0140'}
2022-07-19,,{'EMA': '256.9185'}
2022-07-18,,{'EMA': '257.0442'}
2022-07-15,,{'EMA': '256.9666'}
2022-07-14,,{'EMA': '257.2813'}
2022-07-13,,{'EMA': '258.1385'}
