,Meta Data,Technical Analysis: SMA
1: Symbol,msft,
2: Indicator,Simple Moving Average (SMA),
3: Last Refreshed,2023-05-08,
4: Interval,daily,
5: Time Period,21,
6: Series Type,open,
7: Time Zone,US/Eastern,
2023-05-08,,{'SMA': '293.8004'}
2023-05-05,,{'SMA': '292.5185'}
2023-05-04,,{'SMA': '291.5723'}
2023-05-03,,{'SMA': '290.6670'}
2023-05-02,,{'SMA': '289.7099'}
2023-05-01,,{'SMA': '288.5656'}
2023-04-28,,{'SMA': '287.4828'}
2023-04-27,,{'SMA': '286.2899'}
2023-04-26,,{'SMA': '285.3290'}
2023-04-25,,{'SMA': '284.5575'}
2023-04-24,,{'SMA': '284.4494'}
2023-04-21,,{'SMA': '284.2518'}
2023-04-20,,{'SMA': '283.6990'}
2023-04-19,,{'SMA': '283.2051'}
2023-04-18,,{'SMA': '282.7761'}
2023-04-17,,{'SMA': '282.1423'}
2023-04-14,,{'SMA': '280.9649'}
2023-04-13,,{'SMA': '279.6782'}
2023-04-12,,{'SMA': '278.4001'}
2023-04-11,,{'SMA': '276.6197'}
2023-04-10,,{'SMA': '274.9687'}
2023-04-06,,{'SMA': '273.3788'}
2023-04-05,,{'SMA': '271.9898'}
2023-04-04,,{'SMA': '270.5826'}
2023-04-03,,{'SMA': '269.1157'}
2023-03-31,,{'SMA': '267.4810'}
2023-03-30,,{'SMA': '265.7105'}
2023-03-29,,{'SMA': '264.1167'}
2023-03-28,,{'SMA': '262.6933'}
2023-03-27,,{'SMA': '261.5824'}
2023-03-24,,{'SMA': '260.1281'}
2023-03-23,,{'SMA': '259.0957'}
2023-03-22,,{'SMA': '257.9600'}
2023-03-21,,{'SMA': '257.0590'}
2023-03-20,,{'SMA': '256.3214'}
2023-03-17,,{'SMA': '255.7043'}
2023-03-16,,{'SMA': '255.2310'}
2023-03-15,,{'SMA': '255.5537'}
2023-03-14,,{'SMA': '255.8864'}
2023-03-13,,{'SMA': '256.0826'}
2023-03-10,,{'SMA': '257.3070'}
2023-03-09,,{'SMA': '258.3275'}
2023-03-08,,{'SMA': '258.5206'}
2023-03-07,,{'SMA': '258.6516'}
2023-03-06,,{'SMA': '258.7748'}
2023-03-03,,{'SMA': '258.8579'}
2023-03-02,,{'SMA': '258.6286'}
2023-03-01,,{'SMA': '258.4518'}
2023-02-28,,{'SMA': '258.1248'}
2023-02-27,,{'SMA': '258.0912'}
2023-02-24,,{'SMA': '257.6424'}
2023-02-23,,{'SMA': '256.8771'}
2023-02-22,,{'SMA': '256.2262'}
2023-02-21,,{'SMA': '255.5787'}
2023-02-17,,{'SMA': '254.6160'}
2023-02-16,,{'SMA': '253.3684'}
2023-02-15,,{'SMA': '252.2702'}
2023-02-14,,{'SMA': '250.7964'}
2023-02-13,,{'SMA': '249.1022'}
2023-02-10,,{'SMA': '247.5642'}
2023-02-09,,{'SMA': '246.1278'}
2023-02-08,,{'SMA': '243.9407'}
2023-02-07,,{'SMA': '241.7201'}
2023-02-06,,{'SMA': '239.9375'}
2023-02-03,,{'SMA': '238.5011'}
2023-02-02,,{'SMA': '237.2059'}
2023-02-01,,{'SMA': '236.4583'}
2023-01-31,,{'SMA': '235.9933'}
2023-01-30,,{'SMA': '235.6228'}
2023-01-27,,{'SMA': '235.2609'}
2023-01-26,,{'SMA': '234.7721'}
2023-01-25,,{'SMA': '234.4139'}
2023-01-24,,{'SMA': '234.7357'}
2023-01-23,,{'SMA': '234.6973'}
2023-01-20,,{'SMA': '234.6165'}
2023-01-19,,{'SMA': '235.0918'}
2023-01-18,,{'SMA': '235.7933'}
2023-01-17,,{'SMA': '236.3707'}
2023-01-13,,{'SMA': '237.2808'}
2023-01-12,,{'SMA': '238.4534'}
2023-01-11,,{'SMA': '239.0322'}
2023-01-10,,{'SMA': '239.6689'}
2023-01-09,,{'SMA': '240.4804'}
2023-01-06,,{'SMA': '241.3535'}
2023-01-05,,{'SMA': '242.6749'}
2023-01-04,,{'SMA': '243.8533'}
2023-01-03,,{'SMA': '244.6867'}
2022-12-30,,{'SMA': '245.1992'}
2022-12-29,,{'SMA': '245.3113'}
2022-12-28,,{'SMA': '245.5845'}
2022-12-27,,{'SMA': '246.0210'}
2022-12-23,,{'SMA': '246.4299'}
2022-12-22,,{'SMA': '246.8572'}
2022-12-21,,{'SMA': '246.9681'}
2022-12-20,,{'SMA': '246.9558'}
2022-12-19,,{'SMA': '247.1510'}
2022-12-16,,{'SMA': '246.8147'}
2022-12-15,,{'SMA': '246.5411'}
2022-12-14,,{'SMA': '246.1255'}
2022-12-13,,{'SMA': '245.3739'}
2022-12-12,,{'SMA': '244.4533'}
2022-12-09,,{'SMA': '243.8512'}
2022-12-08,,{'SMA': '242.9980'}
2022-12-07,,{'SMA': '242.2009'}
2022-12-06,,{'SMA': '241.0864'}
2022-12-05,,{'SMA': '239.4771'}
2022-12-02,,{'SMA': '237.9316'}
2022-12-01,,{'SMA': '236.9340'}
2022-11-30,,{'SMA': '235.9874'}
2022-11-29,,{'SMA': '235.6328'}
2022-11-28,,{'SMA': '234.8826'}
2022-11-25,,{'SMA': '234.1374'}
2022-11-23,,{'SMA': '233.3400'}
2022-11-22,,{'SMA': '233.4094'}
2022-11-21,,{'SMA': '233.3850'}
2022-11-18,,{'SMA': '233.0359'}
2022-11-17,,{'SMA': '232.6369'}
2022-11-16,,{'SMA': '232.5701'}
2022-11-15,,{'SMA': '232.5591'}
2022-11-14,,{'SMA': '232.0930'}
2022-11-11,,{'SMA': '231.7878'}
2022-11-10,,{'SMA': '230.6917'}
2022-11-09,,{'SMA': '230.2166'}
2022-11-08,,{'SMA': '230.2285'}
2022-11-07,,{'SMA': '230.4345'}
2022-11-04,,{'SMA': '231.3303'}
2022-11-03,,{'SMA': '232.7693'}
2022-11-02,,{'SMA': '233.9960'}
2022-11-01,,{'SMA': '234.7364'}
2022-10-31,,{'SMA': '234.7747'}
2022-10-28,,{'SMA': '234.9893'}
2022-10-27,,{'SMA': '235.5885'}
2022-10-26,,{'SMA': '235.8618'}
2022-10-25,,{'SMA': '236.2791'}
2022-10-24,,{'SMA': '235.7952'}
2022-10-21,,{'SMA': '235.5954'}
2022-10-20,,{'SMA': '235.7436'}
2022-10-19,,{'SMA': '236.1462'}
2022-10-18,,{'SMA': '236.3843'}
2022-10-17,,{'SMA': '236.3475'}
2022-10-14,,{'SMA': '236.7473'}
2022-10-13,,{'SMA': '237.4213'}
2022-10-12,,{'SMA': '239.0166'}
2022-10-11,,{'SMA': '240.6005'}
2022-10-10,,{'SMA': '242.4080'}
2022-10-07,,{'SMA': '243.7082'}
2022-10-06,,{'SMA': '244.4949'}
2022-10-05,,{'SMA': '244.8155'}
2022-10-04,,{'SMA': '245.2991'}
2022-10-03,,{'SMA': '246.0856'}
2022-09-30,,{'SMA': '247.1968'}
2022-09-29,,{'SMA': '248.4805'}
2022-09-28,,{'SMA': '249.7963'}
2022-09-27,,{'SMA': '251.1718'}
2022-09-26,,{'SMA': '253.0238'}
